Name,Method,Dim,N_sample,Time kNN,Recall@10
SK-1M-2d,brute,2.0,1000000.0,29.47330594062805,-
SK-1M-2d,ivfflat,2.0,1000000.0,5.745961141586304,0.6096195999999999
SK-1M-2d,ivfpq,2.0,1000000.0,4.806337165832519,0.4985660999999999
SK-1M-2d,ivfsq,2.0,1000000.0,6.65910971959432,0.23488955333333333
SK-1M-20d,brute,20.0,1000000.0,27.052029609680176,-
SK-1M-20d,ivfflat,20.0,1000000.0,9.307396729787191,0.8505590000000001
SK-1M-20d,ivfpq,20.0,1000000.0,16.278694144884746,0.7203091000000003
SK-1M-20d,ivfsq,20.0,1000000.0,7.601050305366516,0.7075854633333335
SK-1M-32d,brute,32.0,1000000.0,27.356943130493164,-
SK-1M-32d,ivfflat,32.0,1000000.0,9.199118034044902,0.5857901000000001
SK-1M-32d,ivfpq,32.0,1000000.0,23.87496030330658,0.5168630000000002
SK-1M-32d,ivfsq,32.0,1000000.0,8.28299838701884,0.5265332933333333
SIFT1M,brute,128.0,1000000.0,42.95789170265198,-
SIFT1M,ivfflat,128.0,1000000.0,19.051898630460105,0.8551527999999998
SIFT1M,ivfpq,128.0,1000000.0,45.01579039096832,0.5122336
SIFT1M,ivfsq,128.0,1000000.0,21.33473772207896,0.7935883066666664
SK-1M-12d,brute,12.0,1000000.0,27.599404096603394,-
SK-1M-12d,ivfflat,12.0,1000000.0,8.011632180213928,0.9811723000000002
SK-1M-12d,ivfpq,12.0,1000000.0,11.081748819351196,0.8236960999999998
SK-1M-12d,ivfsq,12.0,1000000.0,7.127158117294312,0.7839072966666666
SK-5M-12d,brute,12.0,5000000.0,661.3354725837708,-
SK-5M-12d,ivfflat,12.0,5000000.0,72.66703745524089,0.9370682399999998
SK-5M-12d,ivfpq,12.0,5000000.0,28.927726721763612,0.7712829200000002
SK-5M-12d,ivfsq,12.0,5000000.0,60.97456660270691,0.7324573853333333
SK-10M-12d,brute,12.0,10000000.0,2646.5212545394897,-
SK-10M-12d,ivfflat,12.0,10000000.0,375.04373630682625,0.9566383300000001
SK-10M-12d,ivfpq,12.0,10000000.0,133.47341380119323,0.7789158600000002
SK-10M-12d,ivfsq,12.0,10000000.0,341.4804629643758,0.7274751699999998
SK-13M-12d,brute,12.0,13000000.0,4469.502954006195,-
SK-13M-12d,ivfflat,12.0,13000000.0,471.20445948441824,0.9621751153846152
SK-13M-12d,ivfpq,12.0,13000000.0,108.88846025466918,0.7813058307692308
SK-13M-12d,ivfsq,12.0,13000000.0,382.28256322542825,0.7357207056410255
